"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","taxon","OR","OR_lower","OR_upper","direction"
"moba_fetal_reverse","ebi-a-GCST90016929","Enterobacteriaceae","Neonatal jaundice (Fetal)","Inverse variance weighted",2,-0.835095445129548,6.88250974233171,0.903424993889555,"Enterobacteriaceae",0.433833072203089,6.00913679948774e-07,313208.270700735,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016931","Lachnospiraceae","Neonatal jaundice (Fetal)","Inverse variance weighted",13,1.19642342673819,0.500229334312253,0.0167682673900225,"Lachnospiraceae",3.30826349129321,1.24107002572785,8.81868637622193,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016931","Lachnospiraceae","Neonatal jaundice (Fetal)","Weighted median",13,1.14699782169809,1.34703054026873,0.3944911205785,"Lachnospiraceae",3.14872566974498,0.224656651139679,44.1316706761853,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016931","Lachnospiraceae","Neonatal jaundice (Fetal)","MR Egger",13,-0.233785823768839,0.685207965751727,0.739388996398748,"Lachnospiraceae",0.791531324938553,0.206636630463126,3.03199794225634,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016932","Lactobacillaceae","Neonatal jaundice (Fetal)","Inverse variance weighted",21,0.115076718723837,0.258329445236827,0.6559837690284,"Lactobacillaceae",1.121959509572,0.676211762444429,1.86153688981784,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016932","Lactobacillaceae","Neonatal jaundice (Fetal)","Weighted median",21,0.770840688870582,0.255124068486234,0.00251579977343734,"Lactobacillaceae",2.16158270866725,1.31100958325624,3.56400125985653,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016932","Lactobacillaceae","Neonatal jaundice (Fetal)","MR Egger",21,0.262355396145803,0.396677876904227,0.516308728864645,"Lactobacillaceae",1.29998847123293,0.597420987397239,2.82877578958373,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016933","Prevotellaceae","Neonatal jaundice (Fetal)","Inverse variance weighted",20,-0.157291320767444,0.263768811703549,0.550959692551378,"Prevotellaceae",0.854455102040233,0.509524066603685,1.43289310408661,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016933","Prevotellaceae","Neonatal jaundice (Fetal)","Weighted median",20,-0.659447556884348,0.265834799578329,0.0131136899016973,"Prevotellaceae",0.517136944337587,0.307130124141713,0.870740439239433,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016933","Prevotellaceae","Neonatal jaundice (Fetal)","MR Egger",20,-0.359413765909397,0.477231125559015,0.461113539124809,"Prevotellaceae",0.698085447626365,0.273956273250861,1.77883603979918,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016934","Ruminococcaceae","Neonatal jaundice (Fetal)","Inverse variance weighted",14,-0.572694205353272,0.573578749038213,0.31805739296798,"Ruminococcaceae",0.564003847694899,0.183249154256877,1.73588981354173,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016934","Ruminococcaceae","Neonatal jaundice (Fetal)","Weighted median",14,-0.835387722612006,1.83336025593356,0.648634965364473,"Ruminococcaceae",0.433706291093473,0.0119291078916191,15.7682492809214,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016934","Ruminococcaceae","Neonatal jaundice (Fetal)","MR Egger",14,0.76332004523919,0.943324963299235,0.434162756963073,"Ruminococcaceae",2.14538719212466,0.337700158301405,13.6295056161168,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016935","Tannerellaceae","Neonatal jaundice (Fetal)","Inverse variance weighted",16,-0.118812320082834,0.297140602180053,0.689265389098987,"Tannerellaceae",0.887974440093396,0.495985840345247,1.58976031596047,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016935","Tannerellaceae","Neonatal jaundice (Fetal)","Weighted median",16,-0.396685322136306,0.470798070559425,0.39946304312931,"Tannerellaceae",0.672545627559007,0.267282389627751,1.69228366215481,"reverse"
"moba_fetal_reverse","ebi-a-GCST90016935","Tannerellaceae","Neonatal jaundice (Fetal)","MR Egger",16,-0.115968904686754,0.559610297912062,0.838813018928239,"Tannerellaceae",0.890502913333991,0.297361981732214,2.66676807181911,"reverse"
